id,tested_positive
0,21.040092
1,4.0215273
2,4.365777
3,11.576983
4,4.4761033
5,28.176264
6,25.887886
7,8.065987
8,11.612988
9,11.47323
10,17.67609
11,21.37045
12,22.580809
13,14.252317
14,21.802
15,19.527678
16,26.957811
17,8.36738
18,23.713892
19,4.6912203
20,5.4535346
21,23.291706
22,18.69081
23,15.56784
24,14.813559
25,28.606575
26,23.539715
27,25.65546
28,7.432451
29,18.745832
30,9.948255
31,7.471743
32,25.046457
33,11.1537285
34,23.318556
35,31.053726
36,11.727965
37,7.8669214
38,15.841564
39,9.436289
40,15.791953
41,7.2785397
42,7.8752646
43,17.665981
44,7.0801873
45,16.936556
46,14.32675
47,4.723401
48,6.67332
49,16.548542
50,15.000943
51,13.425462
52,13.700374
53,8.256402
54,15.680308
55,30.28247
56,10.230656
57,15.961232
58,34.63546
59,10.193436
60,20.463438
61,21.783846
62,26.30192
63,23.613724
64,19.92623
65,5.1148076
66,13.988226
67,23.599815
68,33.09372
69,18.814444
70,21.629887
71,16.105263
72,11.099005
73,25.415976
74,16.054089
75,4.3792315
76,18.76638
77,15.344697
78,9.803242
79,6.5157037
80,17.9161
81,11.449768
82,12.3084135
83,17.840288
84,9.558718
85,18.091343
86,24.367104
87,10.796956
88,8.229303
89,16.453625
90,25.753405
91,35.53972
92,18.971895
93,6.5246196
94,10.958636
95,12.094491
96,12.123968
97,22.01492
98,12.212665
99,12.383643
100,7.149097
101,7.6813636
102,17.743572
103,13.283287
104,4.487271
105,33.61025
106,28.136255
107,11.288746
108,21.377829
109,9.473374
110,14.196087
111,7.248916
112,20.685188
113,24.593027
114,16.335457
115,10.074794
116,9.063182
117,27.99175
118,20.8317
119,11.385297
120,12.166279
121,21.284134
122,9.49774
123,21.044016
124,32.452904
125,12.327822
126,10.582734
127,7.5102906
128,4.9339156
129,11.857077
130,17.862291
131,13.671971
132,12.932185
133,15.313508
134,24.124481
135,19.079565
136,21.288422
137,5.626196
138,16.10059
139,30.945919
140,24.853163
141,18.434984
142,26.508509
143,26.278627
144,11.170327
145,37.695297
146,4.460118
147,13.476332
148,19.91431
149,15.706258
150,23.358698
151,8.821015
152,20.148338
153,5.8400636
154,34.915646
155,16.838322
156,17.390858
157,28.09388
158,17.264614
159,20.44535
160,19.908619
161,23.99541
162,13.474892
163,14.410501
164,16.102627
165,23.911388
166,27.438475
167,15.80671
168,26.610275
169,16.19689
170,12.387969
171,12.564771
172,24.937668
173,39.93593
174,20.866463
175,5.577952
176,7.3689713
177,33.119038
178,26.041903
179,24.661703
180,16.83945
181,21.795794
182,24.601513
183,10.47669
184,20.608608
185,10.82405
186,19.039309
187,7.4048133
188,15.001734
189,25.441576
190,6.680034
191,24.398373
192,24.915833
193,7.8512177
194,15.908031
195,31.085693
196,7.831519
197,26.770844
198,12.770534
199,19.500917
200,26.272753
201,16.245544
202,23.984797
203,11.07865
204,24.592129
205,22.749907
206,17.108103
207,26.566833
208,16.590403
209,8.146664
210,9.46877
211,18.244661
212,31.523174
213,7.007589
214,12.058925
215,14.262568
216,7.6964474
217,14.805281
218,10.753394
219,10.834834
220,15.741439
221,9.224381
222,15.614354
223,12.5432005
224,22.23636
225,20.406044
226,14.498374
227,8.233556
228,10.16732
229,34.237232
230,17.1171
231,8.490926
232,14.238638
233,21.927038
234,10.796451
235,31.935007
236,19.873663
237,19.445677
238,22.175287
239,31.73773
240,11.766904
241,26.575407
242,27.10949
243,29.112968
244,12.613983
245,11.123089
246,16.317448
247,27.304916
248,19.936995
249,11.5451145
250,22.857727
251,15.871642
252,20.401588
253,11.291783
254,12.482791
255,10.585233
256,7.645863
257,19.502054
258,14.928738
259,6.6295047
260,12.657191
261,4.227934
262,6.4857335
263,22.023737
264,16.361856
265,5.950513
266,27.593151
267,23.971416
268,8.634105
269,11.180512
270,12.709166
271,7.8062634
272,20.476912
273,10.401251
274,9.630966
275,18.528528
276,19.74829
277,8.469716
278,17.674795
279,17.532661
280,20.954617
281,21.381493
282,18.663591
283,23.164564
284,19.342617
285,22.006886
286,22.769316
287,27.458826
288,7.182933
289,19.921932
290,12.189711
291,18.621822
292,4.8175197
293,5.1048803
294,23.385345
295,15.27874
296,7.379079
297,21.120714
298,10.643392
299,10.327508
300,12.818105
301,21.327171
302,10.06405
303,17.470482
304,11.096673
305,18.46738
306,21.063688
307,28.9207
308,13.498428
309,12.295953
310,11.780799
311,23.637213
312,9.591035
313,22.750319
314,17.7957
315,14.671463
316,27.5592
317,18.310724
318,20.40896
319,18.794056
320,4.6371455
321,6.6787066
322,25.39459
323,18.808636
324,8.974743
325,19.980131
326,6.0160317
327,24.433231
328,20.265837
329,24.710514
330,10.327648
331,24.557018
332,15.372535
333,6.7344403
334,12.028711
335,12.313435
336,24.514702
337,8.787401
338,10.788798
339,24.042404
340,15.247256
341,9.870236
342,22.233541
343,17.972849
344,6.8635545
345,18.068035
346,28.532919
347,23.643343
348,18.980042
349,17.617212
350,9.352292
351,22.984875
352,17.531162
353,16.704828
354,7.0674663
355,17.216621
356,22.167618
357,17.119135
358,24.397984
359,16.879776
360,7.7274365
361,19.346899
362,10.339256
363,14.578763
364,21.131632
365,34.292328
366,15.747159
367,16.251955
368,7.3739495
369,15.543167
370,17.333601
371,16.997355
372,17.30012
373,11.6574545
374,4.8290873
375,14.150412
376,8.987625
377,9.922374
378,16.76537
379,21.486452
380,29.665579
381,16.297861
382,11.2174635
383,21.720009
384,5.3712616
385,15.108587
386,17.411324
387,17.795929
388,16.600796
389,16.972229
